episode_id,window_id,true_break_event_id,retest_event_id,sweep_event_id,timestamp,direction,side,retest_source_tf,retest_regime_at_event,retest_structure_trend_at_event,retest_atr_at_event,retest_dist_pips,retest_dist_per_atr,retest_trend_aligned,regime_changed_break_to_retest,tb_source_tf,tb_regime_at_event,tb_structure_trend_at_event,tb_atr_at_event,tb_penetration_pips,tb_penetration_per_atr,sweep_source_tf,sweep_regime_at_event,sweep_structure_trend_at_event,sweep_penetration_per_atr,regime_changed_sweep_to_break,primary_outcome,economic_outcome,period
w1__BUY__seq178,w1,689,691,676,2026-01-22 14:00:00,BUY,Asia-Low,PERIOD_H1,STRONG_TREND,DOWN,21.40071,5952.000000000044,2.781216137221636,False,True,PERIOD_M5,WEAK_TREND,UP,3.27214,585.2,1.788432035304113,PERIOD_D1,STRONG_TREND,UP,0.06997455544301087,True,FAIL,MINUS_1R_FIRST,VALIDATION
w1__BUY__seq179,w1,692,694,676,2026-01-22 15:00:00,BUY,Asia-Low,PERIOD_H1,STRONG_TREND,DOWN,20.48071,5634.000000000015,2.750881195036703,False,True,PERIOD_M30,WEAK_TREND,UP,10.32357,471.8,0.45701244821316656,PERIOD_D1,STRONG_TREND,UP,0.06997455544301087,True,FAIL,MINUS_1R_FIRST,VALIDATION
w1__BUY__seq180,w1,695,696,676,2026-01-22 16:00:00,BUY,Asia-Low,PERIOD_H1,WEAK_TREND,DOWN,18.09429,4982.999999999993,2.753907448150766,False,False,PERIOD_M5,WEAK_TREND,UP,4.63714,559.1,1.2057000651263496,PERIOD_D1,STRONG_TREND,UP,0.06997455544301087,True,AMBIGUOUS,AMBIGUOUS_SAME_BAR,VALIDATION
w1__BUY__seq187,w1,735,737,708,2026-01-23 17:00:00,BUY,Asia-Low,PERIOD_H1,WEAK_TREND,UP,21.265,898.9999999999782,0.42276040442039886,True,True,PERIOD_M15,STRONG_TREND,UP,11.595,164.0,0.14144027598102632,PERIOD_D1,STRONG_TREND,UP,0.17583662788945004,False,AMBIGUOUS,AMBIGUOUS_SAME_BAR,VALIDATION
w1__BUY__seq189,w1,750,752,749,2026-01-23 20:00:00,BUY,Asia-Low,PERIOD_H4,STRONG_TREND,UP,50.47714,4488.000000000011,0.8891153500376628,True,False,PERIOD_M15,STRONG_TREND,UP,13.27714,444.2,0.33456000313320494,PERIOD_H4,STRONG_TREND,UP,0.05788759030325411,False,FAIL,MINUS_1R_FIRST,VALIDATION
w1__BUY__seq250,w1,866,870,848,2026-01-28 15:00:00,BUY,Asia-Low,PERIOD_H1,STRONG_TREND,UP,28.02571,10460.000000000036,3.732287246246406,True,False,PERIOD_M30,STRONG_TREND,UP,19.305,1218.9,0.6313908313908315,PERIOD_D1,STRONG_TREND,UP,0.16593158969127558,False,HOLD,PLUS_1R_FIRST,VALIDATION
w1__BUY__seq259,w1,905,906,904,2026-01-29 03:00:00,BUY,Asia-Low,PERIOD_H1,VOLATILE,UP,53.32143,34742.00000000001,6.515579195831771,True,False,PERIOD_M15,VOLATILE,UP,41.87857,3195.3,0.7629916685311844,PERIOD_D1,STRONG_TREND,UP,0.22506198274317907,True,FAIL,MINUS_1R_FIRST,VALIDATION
w1__SELL__seq334,w1,925,928,924,2026-01-29 17:00:00,SELL,Equal-High,PERIOD_H1,WEAK_TREND,UP,49.09429,40769.99999999998,8.304428070963034,False,True,PERIOD_D1,STRONG_TREND,UP,114.39071,1129.9,0.0987755037100478,PERIOD_M5,RANGING,UP,0.07392203540558649,True,FAIL,MINUS_1R_FIRST,VALIDATION
w1__BUY__seq583,w1,1804,1805,1778,2026-02-24 10:00:00,BUY,Asia-Low,PERIOD_H1,WEAK_TREND,UP,24.20929,5407.999999999993,2.2338532026341924,True,False,PERIOD_M5,WEAK_TREND,UP,7.96643,582.1,0.7306911627918654,PERIOD_D1,WEAK_TREND,UP,0.0641313429896664,False,FAIL,MINUS_1R_FIRST,VALIDATION
w1__BUY__seq587,w1,1822,1823,1778,2026-02-24 15:00:00,BUY,Asia-Low,PERIOD_H1,WEAK_TREND,UP,24.31571,1163.9999999999418,0.47870286329288425,True,False,PERIOD_M15,WEAK_TREND,DOWN,8.98714,138.9,0.15455417407540106,PERIOD_D1,WEAK_TREND,UP,0.0641313429896664,False,HOLD,PLUS_1R_FIRST,VALIDATION
w1__BUY__seq607,w1,1850,1851,1778,2026-02-24 22:15:00,BUY,Asia-Low,PERIOD_M5,WEAK_TREND,DOWN,4.76857,441.9999999999163,0.9269026144104339,False,True,PERIOD_H4,STRONG_TREND,UP,54.28,185.8,0.03422991893883567,PERIOD_D1,WEAK_TREND,UP,0.0641313429896664,True,AMBIGUOUS,AMBIGUOUS_SAME_BAR,VALIDATION
w3__SELL__seq18,w3,110,111,109,2026-05-05 08:00:00,SELL,Equal-High,PERIOD_H1,STRONG_TREND,DOWN,18.13429,335.99999999996726,0.18528434253558715,True,True,PERIOD_D1,WEAK_TREND,UP,101.035,188.8,0.018686593754639484,PERIOD_M5,STRONG_TREND,DOWN,0.06910112359550562,True,HOLD,PLUS_1R_FIRST,VALIDATION
w3__SELL__seq19,w3,114,115,112,2026-05-05 11:00:00,SELL,Equal-High,PERIOD_M30,WEAK_TREND,UP,10.55357,651.0000000000218,0.6168528753777365,False,False,PERIOD_D1,WEAK_TREND,UP,101.035,283.0,0.028010095511456428,PERIOD_M5,WEAK_TREND,UP,0.017377108403432436,False,FAIL,MINUS_1R_FIRST,VALIDATION
w3__SELL__seq20,w3,117,119,116,2026-05-05 11:30:00,SELL,Asia-High,PERIOD_M30,RANGING,UP,10.18214,95.00000000007276,0.09330062246254005,False,True,PERIOD_D1,WEAK_TREND,UP,101.035,283.0,0.028010095511456428,PERIOD_M15,WEAK_TREND,UP,0.010656412066266841,False,AMBIGUOUS,AMBIGUOUS_SAME_BAR,VALIDATION
w3__SELL__seq29,w3,135,136,134,2026-05-05 16:30:00,SELL,Equal-High,PERIOD_M30,WEAK_TREND,UP,12.79,1057.9999999999927,0.8272087568412766,False,False,PERIOD_D1,WEAK_TREND,UP,101.035,607.0,0.06007819072598605,PERIOD_M30,WEAK_TREND,UP,0.05981235340109461,False,FAIL,MINUS_1R_FIRST,VALIDATION
w3__SELL__seq30,w3,139,140,137,2026-05-05 17:30:00,SELL,Equal-High,PERIOD_M30,WEAK_TREND,UP,13.46143,160.99999999996726,0.11960096364202559,False,False,PERIOD_D1,WEAK_TREND,UP,101.035,607.0,0.06007819072598605,PERIOD_M30,WEAK_TREND,UP,0.002525734635919067,False,HOLD,PLUS_1R_FIRST,VALIDATION
