episode_id,window_id,outcome,side,source_tf,direction,regime_at_event,structure_trend_at_event,consumer,penetration_pips,atr_at_event,penetration_per_atr,age_seconds,age_valid,timestamp
Equal-High_2026.02.26 17:45__ep1,w1,INVALIDATED_NO_BREAK,Equal-High,PERIOD_M15,SELL,VOLATILE,DOWN,DETECTOR,44.3,16.35571,0.027085342060968312,,False,2026-02-26 18:00:00
Equal-Low_2026.02.26 19:45__ep1,w1,INVALIDATED_NO_BREAK,Equal-Low,PERIOD_M15,BUY,WEAK_TREND,DOWN,DETECTOR,12.3,16.46071,0.007472338677979262,,False,2026-02-26 20:00:00
Equal-Low_2026.02.26 20:00__ep1,w1,INVALIDATED_NO_BREAK,Equal-Low,PERIOD_M15,BUY,WEAK_TREND,DOWN,DETECTOR,72.6,14.67357,0.0494767122111388,,False,2026-02-26 20:15:00
Equal-High_2026.02.26 21:30__ep1,w1,INVALIDATED_NO_BREAK,Equal-High,PERIOD_M15,SELL,RANGING,DOWN,DETECTOR,41.9,9.64714,0.04343256136015441,,False,2026-02-26 21:45:00
Equal-High_2026.02.26 23:00__ep1,w1,INVALIDATED_NO_BREAK,Equal-High,PERIOD_M30,SELL,WEAK_TREND,UP,DETECTOR,69.1,20.51214,0.03368736757841941,,False,2026-02-26 23:30:00
Equal-High_2026.02.27 03:30__ep1,w1,INVALIDATED_NO_BREAK,Equal-High,PERIOD_M15,SELL,WEAK_TREND,UP,DETECTOR,20.0,9.85857,0.02028691787957077,,False,2026-02-27 03:45:00
Equal-High_2026.02.27 04:00__ep1,w1,INVALIDATED_NO_BREAK,Equal-High,PERIOD_M30,SELL,RANGING,DOWN,DETECTOR,106.1,14.30643,0.07416245702107373,,False,2026-02-27 04:30:00
Equal-Low_2026.02.27 10:25__ep1,w1,INVALIDATED_NO_BREAK,Equal-Low,PERIOD_M5,BUY,STRONG_TREND,DOWN,DETECTOR,18.8,4.59429,0.040920359837972785,,False,2026-02-27 10:30:00
Asia-High_2026.03.02__ep1,w2,INVALIDATED_NO_BREAK,Asia-High,PERIOD_H1,SELL,STRONG_TREND,UP,DETECTOR,12.5,28.13929,0.004442187418374806,7200.0,True,2026-03-02 02:00:00
Asia-Low_2026.03.02__ep1,w2,TRUE_BREAK_OBSERVED,Asia-Low,PERIOD_D1,BUY,STRONG_TREND,UP,DETECTOR,1056.1,124.52643,0.08480930514108531,0.0,True,2026-03-02 00:00:00
Asia-Low_2026.03.02__ep2,w2,INVALIDATED_NO_BREAK,Asia-Low,PERIOD_M30,BUY,WEAK_TREND,UP,DETECTOR,66.3,31.90214,0.020782304886129897,66600.0,True,2026-03-02 18:30:00
Asia-Low_2026.03.02__ep3,w2,INVALIDATED_NO_BREAK,Asia-Low,PERIOD_M30,BUY,WEAK_TREND,DOWN,DETECTOR,12.6,33.61429,0.003748405811932961,70200.0,True,2026-03-02 19:30:00
Asia-Low_2026.03.02__ep4,w2,INVALIDATED_NO_BREAK,Asia-Low,PERIOD_H1,BUY,STRONG_TREND,DOWN,DETECTOR,34.9,33.52143,0.010411250355369684,72000.0,True,2026-03-02 20:00:00
Asia-Low_2026.03.02__ep5,w2,INVALIDATED_NO_BREAK,Asia-Low,PERIOD_H1,BUY,STRONG_TREND,DOWN,DETECTOR,123.1,33.90357,0.03630886068930204,75600.0,True,2026-03-02 21:00:00
Equal-High_2026.03.02 15:10__ep1,w2,INVALIDATED_NO_BREAK,Equal-High,PERIOD_M5,SELL,RANGING,DOWN,DETECTOR,144.7,8.61071,0.16804653739354827,,False,2026-03-02 15:15:00
Equal-High_2026.03.02 22:55__ep1,w2,INVALIDATED_NO_BREAK,Equal-High,PERIOD_M5,SELL,WEAK_TREND,UP,DETECTOR,17.6,9.47357,0.018578001745909938,,False,2026-03-02 23:00:00
Equal-High_2026.03.02 23:25__ep1,w2,TRUE_BREAK_OBSERVED,Equal-High,PERIOD_M5,SELL,WEAK_TREND,UP,DETECTOR,17.5,7.90714,0.022131895982618242,,False,2026-03-02 23:30:00
Monthly-High_2026.02.01__ep2,w2,INVALIDATED_NO_BREAK,Monthly-High,PERIOD_H1,SELL,WEAK_TREND,DOWN,DETECTOR,57.2,33.53929,0.017054624591039347,2635200.0,True,2026-03-03 12:00:00
Monthly-High_2026.02.01__ep4,w2,TRUE_BREAK_OBSERVED,Monthly-High,PERIOD_M30,SELL,WEAK_TREND,DOWN,DETECTOR,39.4,28.87286,0.013646032987379845,2637000.0,True,2026-03-03 12:30:00
Weekly-Low_2026.02.22__ep7,w2,INVALIDATED_NO_BREAK,Weekly-Low,PERIOD_M15,BUY,WEAK_TREND,DOWN,DETECTOR,47.8,39.22071,0.012187438728161729,846900.0,True,2026-03-03 19:15:00
Weekly-Low_2026.02.22__ep16,w2,INVALIDATED_NO_BREAK,Weekly-Low,PERIOD_D1,BUY,STRONG_TREND,UP,DETECTOR,477.9,142.53214,0.03352927978208985,950400.0,True,2026-03-05 00:00:00
Weekly-Low_2026.02.22__ep18,w2,INVALIDATED_NO_BREAK,Weekly-Low,PERIOD_H1,BUY,WEAK_TREND,UP,DETECTOR,245.1,26.37714,0.09292137055040842,1008000.0,True,2026-03-05 16:00:00
Weekly-Low_2026.02.22__ep21,w2,INVALIDATED_NO_BREAK,Weekly-Low,PERIOD_H1,BUY,WEAK_TREND,DOWN,DETECTOR,90.3,30.50143,0.02960516933140512,1015200.0,True,2026-03-05 18:00:00
Weekly-Low_2026.02.22__ep22,w2,INVALIDATED_NO_BREAK,Weekly-Low,PERIOD_M15,BUY,WEAK_TREND,UP,DETECTOR,75.5,11.59857,0.0650942314440487,1043100.0,True,2026-03-06 01:45:00
Equal-Low_2026.03.04 10:10__ep1,w2,INVALIDATED_NO_BREAK,Equal-Low,PERIOD_M5,BUY,STRONG_TREND,DOWN,DETECTOR,52.6,8.27714,0.06354852038264426,,False,2026-03-04 10:15:00
Asia-High_2026.03.04__ep5,w2,INVALIDATED_NO_BREAK,Asia-High,PERIOD_H1,SELL,WEAK_TREND,UP,DETECTOR,196.5,31.45214,0.06247587604531838,54000.0,True,2026-03-04 15:00:00
Equal-High_2026.03.05 01:10__ep1,w2,INVALIDATED_NO_BREAK,Equal-High,PERIOD_M5,SELL,WEAK_TREND,DOWN,DETECTOR,9.4,6.21214,0.015131661553023597,,False,2026-03-05 01:15:00
Equal-Low_2026.03.05 08:00__ep1,w2,INVALIDATED_NO_BREAK,Equal-Low,PERIOD_M15,BUY,STRONG_TREND,UP,DETECTOR,30.0,12.615,0.023781212841854932,,False,2026-03-05 08:15:00
Daily-Low_2026.03.04__ep3,w2,INVALIDATED_NO_BREAK,Daily-Low,PERIOD_M15,BUY,STRONG_TREND,DOWN,DETECTOR,24.4,23.70714,0.010292257944231147,155700.0,True,2026-03-05 19:15:00
Equal-Low_2026.03.05 21:40__ep1,w2,INVALIDATED_NO_BREAK,Equal-Low,PERIOD_M5,BUY,WEAK_TREND,DOWN,DETECTOR,43.2,8.11143,0.053258180123603366,,False,2026-03-05 21:45:00
Asia-Low_2026.03.06__ep1,w2,INVALIDATED_NO_BREAK,Asia-Low,PERIOD_D1,BUY,STRONG_TREND,UP,DETECTOR,67.9,141.49714,0.004798683563498174,0.0,True,2026-03-06 00:00:00
Equal-High_2026.03.06 02:40__ep1,w2,INVALIDATED_NO_BREAK,Equal-High,PERIOD_M5,SELL,WEAK_TREND,UP,DETECTOR,4.0,7.91643,0.0050527826305544294,,False,2026-03-06 02:45:00
Equal-High_2026.03.06 03:10__ep1,w2,INVALIDATED_NO_BREAK,Equal-High,PERIOD_M5,SELL,STRONG_TREND,UP,DETECTOR,69.4,8.945,0.07758524315259922,,False,2026-03-06 03:15:00
Asia-High_2026.03.06__ep1,w2,INVALIDATED_NO_BREAK,Asia-High,PERIOD_H1,SELL,STRONG_TREND,DOWN,DETECTOR,19.4,26.80786,0.007236683569669491,64800.0,True,2026-03-06 18:00:00
Equal-Low_2026.03.06 18:40__ep1,w2,INVALIDATED_NO_BREAK,Equal-Low,PERIOD_M5,BUY,RANGING,DOWN,DETECTOR,75.4,10.81,0.06975023126734506,,False,2026-03-06 18:45:00
Asia-Low_2026.03.09__ep1,w2,INVALIDATED_NO_BREAK,Asia-Low,PERIOD_D1,BUY,STRONG_TREND,UP,DETECTOR,1070.0,143.35,0.07464248343215907,0.0,True,2026-03-09 00:00:00
Equal-High_2026.03.06 23:30__ep1,w2,INVALIDATED_NO_BREAK,Equal-High,PERIOD_M30,SELL,WEAK_TREND,UP,DETECTOR,13.0,18.51571,0.007021064814689797,,False,2026-03-09 00:00:00
Asia-High_2026.03.09__ep5,w2,INVALIDATED_NO_BREAK,Asia-High,PERIOD_M30,SELL,WEAK_TREND,UP,DETECTOR,10.5,20.11714,0.005219429799663371,81000.0,True,2026-03-09 22:30:00
