episode_id,window_id,true_break_event_id,sweep_event_id,timestamp,direction,side,tb_source_tf,tb_regime_at_event,tb_structure_trend_at_event,tb_atr_at_event,tb_penetration_pips,tb_penetration_per_atr,sweep_penetration_per_atr,sweep_source_tf,sweep_regime_at_event,sweep_structure_trend_at_event,regime_changed_sweep_to_break,direction_trend_aligned_at_break,regime_category_same_sweep_to_break,plus1r_before_minus1r,continuation_1atr_before_failure,retest_outcome,period
w0__BUY__seq387,w0,1291,1225,2025-10-14 22:45:00,BUY,Asia-Low,PERIOD_M15,RANGING,UP,8.45714,489.0,0.578209654800559,0.12064952442097553,PERIOD_D1,STRONG_TREND,UP,True,True,False,PLUS_1R_FIRST,FAILURE_FIRST,N/A_NO_RETEST,DISCOVERY
w0__BUY__seq391,w0,1361,1360,2025-10-16 00:00:00,BUY,Asia-Low,PERIOD_D1,STRONG_TREND,UP,76.02,543.7,0.07152065245987899,0.07152065245987899,PERIOD_D1,STRONG_TREND,UP,False,True,True,AMBIGUOUS_SAME_BAR,FAILURE_FIRST,N/A_NO_RETEST,DISCOVERY
w0__BUY__seq394,w0,1372,1360,2025-10-16 04:00:00,BUY,Asia-Low,PERIOD_M30,WEAK_TREND,UP,10.24643,567.0,0.5533634641528805,0.07152065245987899,PERIOD_D1,STRONG_TREND,UP,True,True,True,PLUS_1R_FIRST,CONTINUATION_FIRST,HOLD,DISCOVERY
w0__SELL__seq613,w0,1397,1396,2025-10-16 00:00:00,SELL,Asia-High,PERIOD_D1,STRONG_TREND,UP,76.02,340.8,0.04483030781373323,0.05,PERIOD_M15,RANGING,DOWN,True,False,False,AMBIGUOUS_SAME_BAR,FAILURE_FIRST,N/A_NO_RETEST,DISCOVERY
w0__BUY__seq396,w0,1422,1421,2025-10-17 00:00:00,BUY,Asia-Low,PERIOD_H4,STRONG_TREND,UP,37.29714,1225.0,0.3284434141599061,0.1496496487936528,PERIOD_D1,STRONG_TREND,UP,False,True,True,PLUS_1R_FIRST,CONTINUATION_FIRST,N/A_NO_RETEST,DISCOVERY
w0__BUY__seq398,w0,1437,1421,2025-10-17 06:00:00,BUY,Asia-Low,PERIOD_H1,VOLATILE,UP,30.89,1389.7,0.4498866947232114,0.1496496487936528,PERIOD_D1,STRONG_TREND,UP,True,True,False,MINUS_1R_FIRST,FAILURE_FIRST,FAIL,DISCOVERY
w0__BUY__seq420,w0,1468,1467,2025-10-17 00:00:00,BUY,Daily-Low,PERIOD_D1,STRONG_TREND,UP,81.85786,1264.6,0.1544873027464925,0.03085388224340135,PERIOD_M15,STRONG_TREND,DOWN,False,True,True,PLUS_1R_FIRST,FAILURE_FIRST,N/A_NO_RETEST,DISCOVERY
w0__BUY__seq433,w0,1508,1507,2025-10-21 00:00:00,BUY,Daily-Low,PERIOD_D1,VOLATILE,UP,96.115,1373.8,0.14293294490974354,0.04245604618062915,PERIOD_M15,STRONG_TREND,DOWN,True,True,False,AMBIGUOUS_SAME_BAR,FAILURE_FIRST,N/A_NO_RETEST,DISCOVERY
w0__BUY__seq434,w0,1512,1511,2025-10-21 00:00:00,BUY,Equal-Low,PERIOD_D1,VOLATILE,UP,96.115,2554.3,0.26575456484419707,0.04740276455173443,PERIOD_M5,WEAK_TREND,DOWN,True,True,False,AMBIGUOUS_SAME_BAR,FAILURE_FIRST,N/A_NO_RETEST,DISCOVERY
w0__BUY__seq444,w0,1532,1531,2025-10-22 00:00:00,BUY,Equal-Low,PERIOD_D1,VOLATILE,DOWN,114.06357,112.3,0.009845387094231751,0.015026841695979443,PERIOD_M5,WEAK_TREND,UP,True,False,False,AMBIGUOUS_SAME_BAR,FAILURE_FIRST,N/A_NO_RETEST,DISCOVERY
w0__BUY__seq487,w0,1615,1611,2025-10-24 16:15:00,BUY,Asia-Low,PERIOD_M15,STRONG_TREND,DOWN,12.76286,309.2,0.2422654483399489,0.02714570858283433,PERIOD_M5,WEAK_TREND,UP,True,False,True,AMBIGUOUS_SAME_BAR,FAILURE_FIRST,N/A_NO_RETEST,DISCOVERY
w0__BUY__seq562,w0,1698,1696,2025-10-28 03:15:00,BUY,Weekly-Low,PERIOD_M15,RANGING,DOWN,11.32286,137.7,0.12161238415029418,0.010273599048909942,PERIOD_H1,STRONG_TREND,DOWN,True,False,False,AMBIGUOUS_SAME_BAR,FAILURE_FIRST,N/A_NO_RETEST,DISCOVERY
w0__BUY__seq586,w0,1722,1720,2025-10-28 16:00:00,BUY,Asia-Low,PERIOD_H1,STRONG_TREND,DOWN,26.56643,170.8,0.06429166432975753,0.008352830094427924,PERIOD_M15,WEAK_TREND,DOWN,True,False,True,PLUS_1R_FIRST,FAILURE_FIRST,N/A_NO_RETEST,DISCOVERY
w0__BUY__seq588,w0,1726,1725,2025-10-28 00:00:00,BUY,Equal-Low,PERIOD_D1,VOLATILE,UP,129.805,268.0,0.020646354146604522,0.035315336525727645,PERIOD_M5,WEAK_TREND,DOWN,True,True,False,AMBIGUOUS_SAME_BAR,FAILURE_FIRST,N/A_NO_RETEST,DISCOVERY
w0__BUY__seq589,w0,1729,1728,2025-10-28 00:00:00,BUY,Equal-Low,PERIOD_D1,VOLATILE,DOWN,129.805,305.5,0.023535302954431646,0.005937675064604487,PERIOD_M5,RANGING,UP,True,False,False,AMBIGUOUS_SAME_BAR,FAILURE_FIRST,N/A_NO_RETEST,DISCOVERY
w0__BUY__seq663,w0,1868,1854,2025-10-31 01:00:00,BUY,Weekly-Low,PERIOD_M30,STRONG_TREND,UP,11.88929,336.4,0.2829437249827365,0.0008415759964164165,PERIOD_H1,WEAK_TREND,UP,True,True,True,MINUS_1R_FIRST,FAILURE_FIRST,N/A_NO_RETEST,DISCOVERY
w0__SELL__seq760,w0,1876,1874,2025-10-31 04:45:00,SELL,Daily-High,PERIOD_M15,STRONG_TREND,UP,9.82071,240.4,0.2447888187310286,0.02950080625989924,PERIOD_M15,WEAK_TREND,UP,True,False,True,MINUS_1R_FIRST,FAILURE_FIRST,AMBIGUOUS,DISCOVERY
w0__SELL__seq809,w0,2027,2024,2025-11-04 16:30:00,SELL,Asia-High,PERIOD_M5,STRONG_TREND,UP,7.44071,479.6,0.6445621452791468,0.07585048604489433,PERIOD_H4,RANGING,UP,True,False,False,AMBIGUOUS_SAME_BAR,FAILURE_FIRST,N/A_NO_RETEST,DISCOVERY
w0__SELL__seq810,w0,2028,2024,2025-11-04 17:00:00,SELL,Asia-High,PERIOD_H1,WEAK_TREND,DOWN,16.52571,424.3,0.256751449710784,0.07585048604489433,PERIOD_H4,RANGING,UP,True,True,False,AMBIGUOUS_SAME_BAR,FAILURE_FIRST,N/A_NO_RETEST,DISCOVERY
w0__SELL__seq921,w0,2233,2232,2025-11-11 00:00:00,SELL,Equal-High,PERIOD_D1,WEAK_TREND,UP,96.57786,283.2,0.029323490911892226,0.0728425286662,PERIOD_M5,WEAK_TREND,UP,False,False,True,AMBIGUOUS_SAME_BAR,FAILURE_FIRST,N/A_NO_RETEST,DISCOVERY
w0__SELL__seq922,w0,2236,2235,2025-11-11 00:00:00,SELL,Equal-High,PERIOD_D1,WEAK_TREND,DOWN,96.57786,283.2,0.029323490911892226,0.06788732394366198,PERIOD_M5,WEAK_TREND,DOWN,False,True,True,AMBIGUOUS_SAME_BAR,FAILURE_FIRST,N/A_NO_RETEST,DISCOVERY
w0__SELL__seq925,w0,2246,2245,2025-11-11 00:00:00,SELL,Daily-High,PERIOD_D1,WEAK_TREND,DOWN,96.57786,6.9,0.0007144494607770353,0.07847498014297061,PERIOD_H1,STRONG_TREND,DOWN,True,True,True,AMBIGUOUS_SAME_BAR,FAILURE_FIRST,N/A_NO_RETEST,DISCOVERY
w0__SELL__seq944,w0,2278,2277,2025-11-12 04:45:00,SELL,Equal-High,PERIOD_M15,WEAK_TREND,UP,6.50143,65.3,0.10043944178434591,0.005946599536165237,PERIOD_M5,WEAK_TREND,DOWN,False,False,True,AMBIGUOUS_SAME_BAR,FAILURE_FIRST,N/A_NO_RETEST,DISCOVERY
w0__BUY__seq824,w0,2281,2280,2025-11-12 10:30:00,BUY,Equal-Low,PERIOD_M30,WEAK_TREND,DOWN,9.65286,150.4,0.15580874476579998,0.14836679597876615,PERIOD_M5,WEAK_TREND,UP,False,False,True,AMBIGUOUS_SAME_BAR,FAILURE_FIRST,N/A_NO_RETEST,DISCOVERY
w0__SELL__seq965,w0,2353,2350,2025-11-13 16:45:00,SELL,Daily-High,PERIOD_M15,WEAK_TREND,UP,12.09143,238.6,0.1973298443608407,0.004738390361026506,PERIOD_M30,WEAK_TREND,UP,False,False,True,MINUS_1R_FIRST,FAILURE_FIRST,N/A_NO_RETEST,DISCOVERY
w0__BUY__seq845,w0,2359,2334,2025-11-13 19:15:00,BUY,Asia-Low,PERIOD_M15,WEAK_TREND,DOWN,14.55071,151.2,0.10391245513105546,0.10272400313502027,PERIOD_D1,STRONG_TREND,UP,True,False,True,AMBIGUOUS_SAME_BAR,FAILURE_FIRST,HOLD,DISCOVERY
w0__BUY__seq846,w0,2362,2334,2025-11-13 20:00:00,BUY,Asia-Low,PERIOD_H4,STRONG_TREND,UP,33.625,218.6,0.06501115241635688,0.10272400313502027,PERIOD_D1,STRONG_TREND,UP,False,True,True,PLUS_1R_FIRST,FAILURE_FIRST,N/A_NO_RETEST,DISCOVERY
