timestamp,open,high,low,close,tick_volume,spread,real_volume
2025.04.02 08:00:00,3116.11,3133.64,3109.67,3131.20,30893,27,0
2025.04.02 12:00:00,3131.27,3131.42,3110.04,3122.41,32464,27,0
2025.04.02 16:00:00,3122.39,3134.12,3116.51,3131.23,47179,27,0
2025.04.02 20:00:00,3131.22,3142.83,3104.72,3132.07,34761,27,0
2025.04.03 00:00:00,3141.02,3167.70,3123.06,3151.20,42553,27,0
2025.04.03 04:00:00,3151.41,3162.85,3139.00,3140.32,44650,27,0
2025.04.03 08:00:00,3140.44,3140.85,3116.33,3128.97,51378,27,0
2025.04.03 12:00:00,3128.95,3129.39,3061.72,3076.16,67122,27,0
2025.04.03 16:00:00,3076.15,3135.51,3053.97,3107.38,77673,27,0
2025.04.03 20:00:00,3107.40,3119.93,3099.95,3114.11,29471,27,0
2025.04.04 00:00:00,3114.32,3116.51,3105.86,3110.50,13270,27,0
2025.04.04 04:00:00,3110.42,3115.63,3086.94,3100.00,32802,27,0
2025.04.04 08:00:00,3099.86,3109.81,3078.38,3084.11,40036,27,0
2025.04.04 12:00:00,3084.06,3136.56,3069.50,3071.07,71299,27,0
2025.04.04 16:00:00,3071.06,3087.36,3016.70,3030.81,76620,27,0
2025.04.04 20:00:00,3030.88,3040.83,3015.56,3038.45,43187,27,0
2025.04.07 00:00:00,3007.97,3031.86,2970.32,2978.62,28962,27,0
2025.04.07 04:00:00,2978.83,3055.45,2971.75,3035.32,54539,27,0
2025.04.07 08:00:00,3035.28,3044.47,3013.23,3031.06,59217,27,0
2025.04.07 12:00:00,3031.28,3045.96,3014.72,3031.12,59637,27,0
2025.04.07 16:00:00,3031.11,3037.92,2969.91,2970.46,82463,27,0
2025.04.07 20:00:00,2970.79,2986.01,2956.16,2981.87,43906,27,0
2025.04.08 00:00:00,2981.10,2992.47,2978.43,2985.24,17764,27,0
2025.04.08 04:00:00,2985.23,3004.66,2983.44,3002.03,36929,27,0
2025.04.08 08:00:00,3001.84,3015.53,2999.38,3007.27,37333,27,0
2025.04.08 12:00:00,3007.26,3019.46,2994.70,3002.50,37208,27,0
2025.04.08 16:00:00,3002.49,3022.56,2984.26,2985.89,67204,27,0
2025.04.08 20:00:00,2985.96,2992.36,2974.59,2981.97,44896,27,0
2025.04.09 00:00:00,2983.01,2990.83,2969.94,2980.25,26038,27,0
2025.04.09 04:00:00,2980.24,3014.05,2972.34,3012.24,53077,27,0
2025.04.09 08:00:00,3012.23,3052.27,3005.35,3043.94,59102,27,0
2025.04.09 12:00:00,3043.93,3072.90,3035.73,3047.24,59625,27,0
2025.04.09 16:00:00,3047.29,3094.76,3047.24,3092.23,66545,27,0
2025.04.09 20:00:00,3092.27,3099.58,3048.55,3082.81,65874,27,0
2025.04.10 00:00:00,3082.71,3101.18,3070.98,3097.09,29689,27,0
2025.04.10 04:00:00,3097.06,3131.78,3078.39,3125.16,51454,27,0
2025.04.10 08:00:00,3125.17,3132.41,3104.58,3104.90,45001,27,0
2025.04.10 12:00:00,3104.92,3133.54,3103.23,3122.88,46287,27,0
2025.04.10 16:00:00,3123.11,3174.94,3116.08,3158.34,75147,27,0
2025.04.10 20:00:00,3158.33,3176.33,3151.43,3175.27,39633,27,0
2025.04.11 00:00:00,3175.57,3217.85,3175.39,3205.39,31796,27,0
2025.04.11 04:00:00,3205.37,3219.93,3200.99,3208.39,51053,27,0
