episode_id,window_id,true_break_event_id,sweep_event_id,timestamp,direction,side,tb_source_tf,tb_regime_at_event,tb_structure_trend_at_event,tb_atr_at_event,tb_penetration_pips,tb_penetration_per_atr,sweep_penetration_per_atr,sweep_source_tf,sweep_regime_at_event,sweep_structure_trend_at_event,regime_changed_sweep_to_break,direction_trend_aligned_at_break,regime_category_same_sweep_to_break,plus1r_before_minus1r,continuation_1atr_before_failure,retest_outcome,period
Daily-High_2025.06.25__ep4,wA,2020,2018,2025-06-26 16:00:00,SELL,Daily-High,PERIOD_M30,RANGING,UP,7.12,150.5,0.21137640449438203,0.1685330347144457,PERIOD_H1,WEAK_TREND,UP,True,False,False,AMBIGUOUS_SAME_BAR,FAILURE_FIRST,N/A_NO_RETEST,DISCOVERY
Asia-High_2025.06.30__ep1,wA,2067,2066,2025-06-30 00:00:00,SELL,Asia-High,PERIOD_D1,RANGING,UP,49.95714,490.8,0.09824421494104747,0.09824421494104747,PERIOD_D1,RANGING,UP,False,False,True,AMBIGUOUS_SAME_BAR,FAILURE_FIRST,N/A_NO_RETEST,DISCOVERY
Weekly-High_2025.07.06__ep7,wA,2301,2298,2025-07-14 15:45:00,SELL,Weekly-High,PERIOD_M15,WEAK_TREND,DOWN,4.25929,171.3,0.40217970600733927,0.020361007942611045,PERIOD_M30,WEAK_TREND,DOWN,False,True,True,MINUS_1R_FIRST,FAILURE_FIRST,N/A_NO_RETEST,DISCOVERY
Daily-Low_2025.07.22__ep3,wA,2429,2428,2025-07-23 00:00:00,BUY,Daily-Low,PERIOD_D1,WEAK_TREND,DOWN,42.71929,484.0,0.11329776314166269,0.043372603217344,PERIOD_H1,WEAK_TREND,DOWN,False,False,True,AMBIGUOUS_SAME_BAR,FAILURE_FIRST,N/A_NO_RETEST,DISCOVERY
Weekly-High_2025.07.13__ep6,wA,2463,2462,2025-07-25 17:15:00,SELL,Weekly-High,PERIOD_M15,WEAK_TREND,DOWN,4.47,372.9,0.8342281879194631,0.019633638998171055,PERIOD_D1,WEAK_TREND,DOWN,False,True,True,PLUS_1R_FIRST,CONTINUATION_FIRST,N/A_NO_RETEST,DISCOVERY
Equal-High_2025.07.29 18:40__ep1,wA,2515,2513,2025-07-29 19:00:00,SELL,Equal-High,PERIOD_H1,RANGING,UP,8.79571,38.9,0.04422610568106498,0.0687658470012801,PERIOD_M5,STRONG_TREND,UP,True,False,False,PLUS_1R_FIRST,FAILURE_FIRST,HOLD,DISCOVERY
Asia-High_2025.07.31__ep1,wA,2546,2545,2025-07-31 00:00:00,SELL,Asia-High,PERIOD_H4,STRONG_TREND,DOWN,17.03786,587.0,0.3445268361167424,0.12710343187927298,PERIOD_D1,WEAK_TREND,UP,True,True,True,AMBIGUOUS_SAME_BAR,FAILURE_FIRST,N/A_NO_RETEST,DISCOVERY
Daily-Low_2025.08.25__ep1,wA,2934,2933,2025-08-26 04:00:00,BUY,Daily-Low,PERIOD_M30,VOLATILE,UP,5.50357,233.4,0.42408836446161313,0.3119724437707765,PERIOD_H1,WEAK_TREND,UP,True,True,False,AMBIGUOUS_SAME_BAR,FAILURE_FIRST,N/A_NO_RETEST,DISCOVERY
Asia-Low_2025.08.27__ep1,wA,2964,2958,2025-08-28 17:15:00,BUY,Asia-Low,PERIOD_M15,WEAK_TREND,UP,4.74786,376.5,0.7929888412884963,0.05540845070422535,PERIOD_D1,RANGING,DOWN,True,True,False,MINUS_1R_FIRST,FAILURE_FIRST,N/A_NO_RETEST,DISCOVERY
Asia-Low_2025.08.28__ep1,wA,2973,2962,2025-08-28 19:00:00,BUY,Asia-Low,PERIOD_M30,WEAK_TREND,UP,5.91643,263.8,0.4458769900091779,0.03706298486532292,PERIOD_D1,WEAK_TREND,UP,False,True,True,AMBIGUOUS_SAME_BAR,FAILURE_FIRST,AMBIGUOUS,DISCOVERY
Asia-Low_2025.08.29__ep2,wA,2982,2979,2025-08-29 18:00:00,BUY,Asia-Low,PERIOD_H1,WEAK_TREND,UP,6.49143,339.8,0.523459391844324,0.08223034395207543,PERIOD_H4,RANGING,UP,True,True,False,AMBIGUOUS_SAME_BAR,FAILURE_FIRST,N/A_NO_RETEST,DISCOVERY
Asia-Low_2025.09.01__ep1,w0,2,1,2025-09-01 05:00:00,BUY,Asia-Low,PERIOD_H1,VOLATILE,UP,9.94286,501.0,0.5038791655519639,0.1217505960858809,PERIOD_D1,STRONG_TREND,UP,True,True,False,AMBIGUOUS_SAME_BAR,FAILURE_FIRST,N/A_NO_RETEST,DISCOVERY
Asia-Low_2025.09.05__ep1,w0,109,108,2025-09-05 15:45:00,BUY,Asia-Low,PERIOD_M15,RANGING,UP,5.70571,427.1,0.7485483839872689,0.011619932675678412,PERIOD_D1,STRONG_TREND,UP,True,True,False,MINUS_1R_FIRST,FAILURE_FIRST,HOLD,DISCOVERY
Asia-Low_2025.09.09__ep1,w0,143,142,2025-09-09 06:00:00,BUY,Asia-Low,PERIOD_M30,STRONG_TREND,DOWN,5.63429,680.5,1.2077830569601493,0.1205901840619759,PERIOD_D1,STRONG_TREND,UP,False,False,True,AMBIGUOUS_SAME_BAR,FAILURE_FIRST,FAIL,DISCOVERY
Asia-High_2025.09.09__ep2,w0,185,177,2025-09-09 00:00:00,SELL,Asia-High,PERIOD_D1,STRONG_TREND,DOWN,46.62071,234.4,0.050278084567995644,0.06750383442064467,PERIOD_M30,WEAK_TREND,DOWN,True,True,True,AMBIGUOUS_SAME_BAR,FAILURE_FIRST,N/A_NO_RETEST,DISCOVERY
Asia-Low_2025.09.23__ep1,w0,433,431,2025-09-23 04:45:00,BUY,Asia-Low,PERIOD_M15,WEAK_TREND,UP,5.02143,715.2,1.424295469617221,0.12359873584784402,PERIOD_D1,STRONG_TREND,UP,True,True,True,PLUS_1R_FIRST,FAILURE_FIRST,AMBIGUOUS,DISCOVERY
Monthly-High_2025.09.01__ep20,w0,829,828,2025-10-02 18:00:00,SELL,Monthly-High,PERIOD_M30,VOLATILE,DOWN,11.42714,319.6,0.27968503055007643,0.23978566342825977,PERIOD_H1,STRONG_TREND,UP,True,True,False,MINUS_1R_FIRST,FAILURE_FIRST,N/A_NO_RETEST,DISCOVERY
Equal-High_2025.10.07 17:55__ep1,w0,981,980,2025-10-07 00:00:00,SELL,Equal-High,PERIOD_D1,STRONG_TREND,UP,60.36357,255.6,0.04234342004622987,0.017144337079553373,PERIOD_M5,WEAK_TREND,UP,True,False,True,PLUS_1R_FIRST,FAILURE_FIRST,N/A_NO_RETEST,DISCOVERY
Daily-High_2025.10.06__ep12,w0,992,991,2025-10-07 00:00:00,SELL,Daily-High,PERIOD_D1,STRONG_TREND,UP,60.36357,91.3,0.015125016628406835,0.05254523751895456,PERIOD_M15,WEAK_TREND,UP,True,False,True,PLUS_1R_FIRST,FAILURE_FIRST,N/A_NO_RETEST,DISCOVERY
Asia-Low_2025.10.09__ep1,w0,1074,1073,2025-10-09 00:00:00,BUY,Asia-Low,PERIOD_D1,STRONG_TREND,UP,61.78643,571.4,0.09247985358597348,0.09247985358597348,PERIOD_D1,STRONG_TREND,UP,False,True,True,AMBIGUOUS_SAME_BAR,FAILURE_FIRST,N/A_NO_RETEST,DISCOVERY
Equal-High_2025.10.14 22:30__ep1,w0,1292,1290,2025-10-14 00:00:00,SELL,Equal-High,PERIOD_D1,STRONG_TREND,UP,71.30571,344.9,0.048369197922578704,0.06929056394951486,PERIOD_M15,RANGING,UP,True,False,False,AMBIGUOUS_SAME_BAR,FAILURE_FIRST,N/A_NO_RETEST,DISCOVERY
Asia-High_2025.10.16__ep1,w0,1397,1396,2025-10-16 00:00:00,SELL,Asia-High,PERIOD_D1,STRONG_TREND,UP,76.02,340.8,0.04483030781373323,0.05,PERIOD_M15,RANGING,DOWN,True,False,False,AMBIGUOUS_SAME_BAR,FAILURE_FIRST,N/A_NO_RETEST,DISCOVERY
Daily-Low_2025.10.20__ep1,w0,1508,1507,2025-10-21 00:00:00,BUY,Daily-Low,PERIOD_D1,VOLATILE,UP,96.115,1373.8,0.14293294490974354,0.04245604618062915,PERIOD_M15,STRONG_TREND,DOWN,True,True,False,AMBIGUOUS_SAME_BAR,FAILURE_FIRST,N/A_NO_RETEST,DISCOVERY
Equal-Low_2025.10.22 05:55__ep1,w0,1532,1531,2025-10-22 00:00:00,BUY,Equal-Low,PERIOD_D1,VOLATILE,DOWN,114.06357,112.3,0.009845387094231751,0.015026841695979443,PERIOD_M5,WEAK_TREND,UP,True,False,False,AMBIGUOUS_SAME_BAR,FAILURE_FIRST,N/A_NO_RETEST,DISCOVERY
Equal-Low_2025.10.28 20:55__ep1,w0,1726,1725,2025-10-28 00:00:00,BUY,Equal-Low,PERIOD_D1,VOLATILE,UP,129.805,268.0,0.020646354146604522,0.035315336525727645,PERIOD_M5,WEAK_TREND,DOWN,True,True,False,AMBIGUOUS_SAME_BAR,FAILURE_FIRST,N/A_NO_RETEST,DISCOVERY
Equal-Low_2025.10.28 22:25__ep1,w0,1729,1728,2025-10-28 00:00:00,BUY,Equal-Low,PERIOD_D1,VOLATILE,DOWN,129.805,305.5,0.023535302954431646,0.005937675064604487,PERIOD_M5,RANGING,UP,True,False,False,AMBIGUOUS_SAME_BAR,FAILURE_FIRST,N/A_NO_RETEST,DISCOVERY
Daily-High_2025.10.30__ep4,w0,1876,1875,2025-10-31 04:45:00,SELL,Daily-High,PERIOD_M15,STRONG_TREND,UP,9.82071,240.4,0.2447888187310286,0.03839929913054023,PERIOD_H1,STRONG_TREND,UP,False,False,True,MINUS_1R_FIRST,FAILURE_FIRST,AMBIGUOUS,DISCOVERY
Equal-High_2025.11.11 13:40__ep1,w0,2233,2232,2025-11-11 00:00:00,SELL,Equal-High,PERIOD_D1,WEAK_TREND,UP,96.57786,283.2,0.029323490911892226,0.0728425286662,PERIOD_M5,WEAK_TREND,UP,False,False,True,AMBIGUOUS_SAME_BAR,FAILURE_FIRST,N/A_NO_RETEST,DISCOVERY
Equal-High_2025.11.11 15:40__ep1,w0,2236,2235,2025-11-11 00:00:00,SELL,Equal-High,PERIOD_D1,WEAK_TREND,DOWN,96.57786,283.2,0.029323490911892226,0.06788732394366198,PERIOD_M5,WEAK_TREND,DOWN,False,True,True,AMBIGUOUS_SAME_BAR,FAILURE_FIRST,N/A_NO_RETEST,DISCOVERY
Equal-High_2025.11.12 04:25__ep1,w0,2278,2277,2025-11-12 04:45:00,SELL,Equal-High,PERIOD_M15,WEAK_TREND,UP,6.50143,65.3,0.10043944178434591,0.005946599536165237,PERIOD_M5,WEAK_TREND,DOWN,False,False,True,AMBIGUOUS_SAME_BAR,FAILURE_FIRST,N/A_NO_RETEST,DISCOVERY
Equal-High_2025.11.19 14:40__ep1,w0,2504,2503,2025-11-19 15:15:00,SELL,Equal-High,PERIOD_M15,STRONG_TREND,UP,7.57929,166.3,0.21941369178379508,0.06982464956206214,PERIOD_M5,RANGING,UP,True,False,False,AMBIGUOUS_SAME_BAR,FAILURE_FIRST,N/A_NO_RETEST,DISCOVERY
Equal-High_2025.11.20 03:00__ep1,w0,2549,2548,2025-11-20 04:30:00,SELL,Equal-High,PERIOD_M30,WEAK_TREND,UP,14.66,270.7,0.18465211459754433,0.0040202371078414244,PERIOD_H1,RANGING,UP,True,False,False,MINUS_1R_FIRST,FAILURE_FIRST,N/A_NO_RETEST,DISCOVERY
Daily-Low_2025.11.20__ep8,w0,2654,2652,2025-11-21 15:00:00,BUY,Daily-Low,PERIOD_H1,RANGING,DOWN,20.05429,269.9,0.13458466991351972,0.03878767515445586,PERIOD_M30,WEAK_TREND,DOWN,True,False,False,AMBIGUOUS_SAME_BAR,FAILURE_FIRST,N/A_NO_RETEST,DISCOVERY
Equal-High_2025.11.21 21:40__ep1,w0,2680,2676,2025-11-21 22:30:00,SELL,Equal-High,PERIOD_M30,WEAK_TREND,UP,14.60714,191.2,0.13089489112858507,0.07800269905533062,PERIOD_M5,STRONG_TREND,DOWN,True,False,True,PLUS_1R_FIRST,FAILURE_FIRST,N/A_NO_RETEST,DISCOVERY
Asia-Low_2025.11.25__ep6,w0,2800,2796,2025-11-25 15:30:00,BUY,Asia-Low,PERIOD_M30,WEAK_TREND,DOWN,11.68857,192.1,0.1643485901183806,0.0901330074176036,PERIOD_M15,WEAK_TREND,DOWN,False,False,True,PLUS_1R_FIRST,FAILURE_FIRST,N/A_NO_RETEST,DISCOVERY
Daily-High_2025.11.25__ep10,w0,2890,2889,2025-11-26 15:00:00,SELL,Daily-High,PERIOD_H1,WEAK_TREND,UP,12.82571,40.4,0.03149923084180135,0.03149923084180135,PERIOD_H1,WEAK_TREND,UP,False,False,True,AMBIGUOUS_SAME_BAR,FAILURE_FIRST,N/A_NO_RETEST,DISCOVERY
Daily-Low_2025.12.03__ep8,w0,3156,3155,2025-12-04 12:00:00,BUY,Daily-Low,PERIOD_H1,WEAK_TREND,DOWN,11.71071,51.6,0.044062230214905844,0.044062230214905844,PERIOD_H1,WEAK_TREND,DOWN,False,False,True,PLUS_1R_FIRST,FAILURE_FIRST,N/A_NO_RETEST,DISCOVERY
Asia-Low_2025.12.10__ep3,w0,3355,3354,2025-12-10 19:00:00,BUY,Asia-Low,PERIOD_H1,RANGING,DOWN,9.66071,29.6,0.030639569969495,0.030639569969495,PERIOD_H1,RANGING,DOWN,False,False,True,MINUS_1R_FIRST,FAILURE_FIRST,N/A_NO_RETEST,DISCOVERY
Asia-High_2025.12.10__ep2,w0,3368,3364,2025-12-10 21:45:00,SELL,Asia-High,PERIOD_M15,RANGING,DOWN,9.315,311.1,0.3339774557165862,0.12241979994077071,PERIOD_M5,VOLATILE,DOWN,True,True,False,MINUS_1R_FIRST,FAILURE_FIRST,N/A_NO_RETEST,DISCOVERY
Asia-Low_2025.12.10__ep5,w0,3371,3370,2025-12-10 22:00:00,BUY,Asia-Low,PERIOD_M30,CHOPPY,UP,11.45786,147.3,0.1285580378884015,0.12955954153689458,PERIOD_H1,RANGING,DOWN,True,True,False,MINUS_1R_FIRST,FAILURE_FIRST,N/A_NO_RETEST,DISCOVERY
Equal-Low_2025.12.11 15:15__ep1,w0,3397,3396,2025-12-11 16:15:00,BUY,Equal-Low,PERIOD_M15,RANGING,UP,6.37857,184.4,0.2890930098752542,0.07273867266892808,PERIOD_M15,RANGING,UP,False,True,True,PLUS_1R_FIRST,FAILURE_FIRST,N/A_NO_RETEST,DISCOVERY
Asia-Low_2025.12.12__ep1,w0,3420,3419,2025-12-12 00:00:00,BUY,Asia-Low,PERIOD_D1,STRONG_TREND,UP,58.23143,690.3,0.11854422946508439,0.11854422946508439,PERIOD_D1,STRONG_TREND,UP,False,True,True,PLUS_1R_FIRST,FAILURE_FIRST,HOLD,DISCOVERY
Equal-High_2025.12.12 15:25__ep1,w0,3428,3427,2025-12-12 00:00:00,SELL,Equal-High,PERIOD_D1,STRONG_TREND,UP,58.23143,595.6,0.1022815342161441,0.07314471005343756,PERIOD_M5,STRONG_TREND,DOWN,False,False,True,MINUS_1R_FIRST,FAILURE_FIRST,N/A_NO_RETEST,DISCOVERY
Asia-Low_2025.12.15__ep1,w0,3462,3457,2025-12-15 02:00:00,BUY,Asia-Low,PERIOD_M5,RANGING,UP,3.67286,379.4,1.0329824714255376,0.06278800114398359,PERIOD_D1,STRONG_TREND,DOWN,True,True,False,PLUS_1R_FIRST,CONTINUATION_FIRST,AMBIGUOUS,DISCOVERY
Equal-High_2025.12.16 04:40__ep1,w0,3499,3497,2025-12-16 05:00:00,SELL,Equal-High,PERIOD_H1,RANGING,UP,15.02643,198.9,0.13236676975169753,0.005379438709365065,PERIOD_M5,RANGING,UP,False,False,True,AMBIGUOUS_SAME_BAR,FAILURE_FIRST,N/A_NO_RETEST,DISCOVERY
Equal-Low_2025.12.16 13:25__ep1,w0,3525,3523,2025-12-16 14:15:00,BUY,Equal-Low,PERIOD_M15,WEAK_TREND,DOWN,5.19357,113.6,0.21873200900344075,0.03447283339915525,PERIOD_M5,RANGING,DOWN,True,False,False,PLUS_1R_FIRST,FAILURE_FIRST,N/A_NO_RETEST,DISCOVERY
Asia-High_2025.12.17__ep9,w0,3596,3591,2025-12-18 05:15:00,SELL,Asia-High,PERIOD_M5,RANGING,UP,2.76143,64.9,0.23502315829117526,0.043814910577750686,PERIOD_M15,WEAK_TREND,UP,True,False,False,PLUS_1R_FIRST,FAILURE_FIRST,N/A_NO_RETEST,DISCOVERY
Asia-High_2025.12.18__ep4,w0,3621,3615,2025-12-18 16:45:00,SELL,Asia-High,PERIOD_M15,WEAK_TREND,DOWN,8.10071,287.3,0.3546602705194977,0.10851531016868272,PERIOD_M15,STRONG_TREND,DOWN,True,True,True,AMBIGUOUS_SAME_BAR,FAILURE_FIRST,FAIL,DISCOVERY
Equal-Low_2025.12.19 08:30__ep1,w0,3665,3664,2025-12-19 11:45:00,BUY,Equal-Low,PERIOD_M15,WEAK_TREND,DOWN,4.27071,83.2,0.19481538198566514,0.04530669930552269,PERIOD_M15,WEAK_TREND,DOWN,False,False,True,AMBIGUOUS_SAME_BAR,FAILURE_FIRST,HOLD,DISCOVERY
Equal-Low_2025.12.19 14:00__ep1,w0,3671,3670,2025-12-19 15:30:00,BUY,Equal-Low,PERIOD_M30,RANGING,UP,5.99786,137.4,0.229081705808405,0.07611419471181996,PERIOD_M30,RANGING,UP,False,True,True,AMBIGUOUS_SAME_BAR,FAILURE_FIRST,N/A_NO_RETEST,DISCOVERY
Asia-Low_2025.12.22__ep1,w0,3701,3700,2025-12-22 04:00:00,BUY,Asia-Low,PERIOD_H4,WEAK_TREND,UP,24.97071,703.7,0.2818101687937588,0.04401602328427835,PERIOD_D1,STRONG_TREND,UP,True,True,True,PLUS_1R_FIRST,FAILURE_FIRST,N/A_NO_RETEST,DISCOVERY
Asia-Low_2025.12.23__ep1,w0,3720,3719,2025-12-23 01:15:00,BUY,Asia-Low,PERIOD_M15,STRONG_TREND,UP,5.23214,998.1,1.907632441027954,0.13974131688090566,PERIOD_D1,STRONG_TREND,UP,False,True,True,PLUS_1R_FIRST,FAILURE_FIRST,N/A_NO_RETEST,DISCOVERY
Equal-High_2025.12.23 10:10__ep1,w0,3723,3722,2025-12-23 00:00:00,SELL,Equal-High,PERIOD_D1,STRONG_TREND,UP,63.39571,449.3,0.0708723035044485,0.01796376786125723,PERIOD_M5,STRONG_TREND,UP,False,False,True,MINUS_1R_FIRST,FAILURE_FIRST,N/A_NO_RETEST,DISCOVERY
Daily-High_2025.12.22__ep1,w0,3730,3729,2025-12-23 00:00:00,SELL,Daily-High,PERIOD_D1,STRONG_TREND,UP,63.39571,51.9,0.008186673830137717,0.018703317123791825,PERIOD_H1,STRONG_TREND,UP,False,False,True,MINUS_1R_FIRST,FAILURE_FIRST,N/A_NO_RETEST,DISCOVERY
Asia-Low_2025.12.23__ep9,w0,3754,3740,2025-12-24 01:45:00,BUY,Asia-Low,PERIOD_M15,WEAK_TREND,UP,6.41357,473.2,0.7378106109389935,0.05016866046596624,PERIOD_H4,STRONG_TREND,UP,True,True,True,MINUS_1R_FIRST,FAILURE_FIRST,N/A_NO_RETEST,DISCOVERY
Equal-High_2025.12.23 20:10__ep1,w0,3742,3741,2025-12-23 00:00:00,SELL,Equal-High,PERIOD_D1,STRONG_TREND,UP,63.39571,360.5,0.056865046546524994,0.05000778630005988,PERIOD_M5,STRONG_TREND,DOWN,False,False,True,MINUS_1R_FIRST,FAILURE_FIRST,N/A_NO_RETEST,DISCOVERY
Asia-Low_2025.12.24__ep1,w0,3778,3751,2025-12-24 08:00:00,BUY,Asia-Low,PERIOD_H4,STRONG_TREND,UP,32.61857,188.7,0.057850482102679554,0.041025808263800714,PERIOD_D1,STRONG_TREND,UP,False,True,True,AMBIGUOUS_SAME_BAR,FAILURE_FIRST,N/A_NO_RETEST,DISCOVERY
Asia-Low_2025.12.29__ep1,w0,3878,3875,2025-12-29 01:15:00,BUY,Asia-Low,PERIOD_M5,RANGING,UP,5.31714,265.5,0.4993285864205193,0.03748082643223108,PERIOD_D1,STRONG_TREND,UP,True,True,False,PLUS_1R_FIRST,CONTINUATION_FIRST,N/A_NO_RETEST,DISCOVERY
Equal-High_2025.12.29 01:30__ep1,w0,3886,3880,2025-12-29 02:30:00,SELL,Equal-High,PERIOD_M30,WEAK_TREND,UP,15.72286,488.8,0.31088491533983004,0.035786891218629886,PERIOD_M15,WEAK_TREND,UP,False,False,True,PLUS_1R_FIRST,FAILURE_FIRST,N/A_NO_RETEST,DISCOVERY
Equal-Low_2026.01.09 07:25__ep1,w1,263,262,2026-01-09 07:45:00,BUY,Equal-Low,PERIOD_M5,WEAK_TREND,UP,3.56857,69.1,0.19363498544234806,0.1331904623611765,PERIOD_M5,STRONG_TREND,UP,True,True,True,AMBIGUOUS_SAME_BAR,FAILURE_FIRST,N/A_NO_RETEST,VALIDATION
Equal-Low_2026.01.09 15:30__ep1,w1,280,278,2026-01-09 16:00:00,BUY,Equal-Low,PERIOD_H1,RANGING,UP,12.90429,221.4,0.17157084969417147,0.3166824343346105,PERIOD_M15,CHOPPY,UP,True,True,False,PLUS_1R_FIRST,FAILURE_FIRST,N/A_NO_RETEST,VALIDATION
Asia-Low_2026.01.13__ep1,w1,308,306,2026-01-13 01:00:00,BUY,Asia-Low,PERIOD_M5,RANGING,DOWN,3.63857,611.9,1.6817046257183452,0.062341992747178,PERIOD_D1,STRONG_TREND,UP,True,False,False,PLUS_1R_FIRST,CONTINUATION_FIRST,FAIL,VALIDATION
Asia-Low_2026.01.28__ep1,w1,849,848,2026-01-28 00:00:00,BUY,Asia-Low,PERIOD_H4,STRONG_TREND,UP,57.545,1673.1,0.29074637240420537,0.16593158969127558,PERIOD_D1,STRONG_TREND,UP,False,True,True,AMBIGUOUS_SAME_BAR,FAILURE_FIRST,HOLD,VALIDATION
Daily-High_2026.02.13__ep1,w1,1568,1564,2026-02-16 01:45:00,SELL,Daily-High,PERIOD_M15,RANGING,UP,11.82571,272.2,0.23017645452154667,0.2028887000849618,PERIOD_M15,WEAK_TREND,UP,True,False,False,AMBIGUOUS_SAME_BAR,FAILURE_FIRST,N/A_NO_RETEST,VALIDATION
Asia-Low_2026.02.24__ep1,w1,1779,1778,2026-02-24 01:15:00,BUY,Asia-Low,PERIOD_M15,STRONG_TREND,UP,8.045,1193.0,1.4829086389061528,0.0641313429896664,PERIOD_D1,WEAK_TREND,UP,True,True,True,PLUS_1R_FIRST,FAILURE_FIRST,FAIL,VALIDATION
Monthly-High_2026.02.01__ep4,w2,60,54,2026-03-03 13:30:00,SELL,Monthly-High,PERIOD_M5,VOLATILE,DOWN,29.05429,1540.9,0.5303519721184031,0.013646032987379845,PERIOD_M30,WEAK_TREND,DOWN,True,True,False,AMBIGUOUS_SAME_BAR,AMBIGUOUS_SAME_BAR,N/A_NO_RETEST,VALIDATION
Equal-Low_2026.03.11 02:10__ep1,w2,361,360,2026-03-11 02:30:00,BUY,Equal-Low,PERIOD_M30,WEAK_TREND,UP,17.475,248.0,0.14191702432045777,0.10369558958194873,PERIOD_M5,RANGING,UP,True,True,False,MINUS_1R_FIRST,FAILURE_FIRST,N/A_NO_RETEST,VALIDATION
Equal-High_2026.03.17 17:10__ep1,w2,700,698,2026-03-17 17:30:00,SELL,Equal-High,PERIOD_M30,RANGING,UP,14.87286,166.6,0.1120161152596071,0.044365192582025675,PERIOD_M5,RANGING,DOWN,False,False,True,MINUS_1R_FIRST,FAILURE_FIRST,N/A_NO_RETEST,VALIDATION
Equal-Low_2026.03.31 03:15__ep1,w2,1156,1154,2026-03-31 03:45:00,BUY,Equal-Low,PERIOD_M15,RANGING,DOWN,15.17786,436.0,0.2872605228932142,0.14342599407424184,PERIOD_M15,RANGING,DOWN,False,False,True,PLUS_1R_FIRST,FAILURE_FIRST,N/A_NO_RETEST,VALIDATION
