episode_id,timestamp,outcome,source_tf,direction,penetration_per_atr,age_seconds
Daily-Low_2025.09.17__ep3,2025-09-18 12:00:00,INVALIDATED_NO_BREAK,PERIOD_H4,BUY,0.09494757582843105,129600.0
Daily-Low_2025.09.17__ep4,2025-09-18 20:00:00,INVALIDATED_NO_BREAK,PERIOD_H1,BUY,0.0018148610723849091,158400.0
Asia-High_2025.09.18__ep3,2025-09-18 13:00:00,INVALIDATED_NO_BREAK,PERIOD_H1,SELL,0.002435770754999622,46800.0
Asia-High_2025.09.18__ep7,2025-09-18 16:00:00,INVALIDATED_NO_BREAK,PERIOD_H1,SELL,0.07648396086350126,57600.0
Asia-Low_2025.09.19__ep1,2025-09-19 00:00:00,INVALIDATED_NO_BREAK,PERIOD_D1,BUY,0.024014408645187113,0.0
Equal-High_2025.09.19 05:30__ep1,2025-09-19 05:45:00,INVALIDATED_NO_BREAK,PERIOD_M15,SELL,0.017126008216357198,
Equal-High_2025.09.19 06:00__ep1,2025-09-19 06:15:00,INVALIDATED_NO_BREAK,PERIOD_M15,SELL,0.0015490996826282024,
Equal-High_2025.09.19 09:30__ep1,2025-09-19 10:00:00,INVALIDATED_NO_BREAK,PERIOD_M30,SELL,0.004340242456794242,
Asia-High_2025.09.19__ep1,2025-09-19 17:15:00,INVALIDATED_NO_BREAK,PERIOD_M15,SELL,0.01353846153846154,62100.0
Asia-Low_2025.09.22__ep1,2025-09-22 00:00:00,TRUE_BREAK_OBSERVED,PERIOD_D1,BUY,0.08386673054225816,0.0
Asia-High_2025.09.22__ep1,2025-09-22 11:30:00,TRUE_BREAK_OBSERVED,PERIOD_M30,SELL,0.03130507548586832,41400.0
Asia-High_2025.09.22__ep2,2025-09-22 15:30:00,INVALIDATED_NO_BREAK,PERIOD_M30,SELL,0.06460665363149162,55800.0
Asia-High_2025.09.22__ep3,2025-09-22 16:45:00,INVALIDATED_NO_BREAK,PERIOD_M15,SELL,0.04400941183737364,60300.0
Equal-Low_2025.09.22 15:55__ep1,2025-09-22 16:00:00,INVALIDATED_NO_BREAK,PERIOD_M5,BUY,0.029434542435751256,
Equal-Low_2025.09.22 16:55__ep1,2025-09-22 17:00:00,INVALIDATED_NO_BREAK,PERIOD_M5,BUY,0.039940960832608355,
Equal-Low_2025.09.22 17:25__ep1,2025-09-22 17:30:00,INVALIDATED_NO_BREAK,PERIOD_M5,BUY,0.0206346632865123,
Equal-High_2025.09.22 18:00__ep1,2025-09-22 18:15:00,TRUE_BREAK_OBSERVED,PERIOD_M15,SELL,0.025116401805201638,
Daily-High_2025.09.22__ep1,2025-09-23 04:00:00,INVALIDATED_NO_BREAK,PERIOD_H1,SELL,0.01999298405712842,100800.0
Daily-High_2025.09.22__ep3,2025-09-23 05:30:00,INVALIDATED_NO_BREAK,PERIOD_M30,SELL,0.09039634146341463,106200.0
Daily-High_2025.09.22__ep5,2025-09-23 08:00:00,INVALIDATED_NO_BREAK,PERIOD_H4,SELL,0.02180956281344448,115200.0
Asia-Low_2025.09.23__ep1,2025-09-23 00:00:00,TRUE_BREAK_OBSERVED,PERIOD_D1,BUY,0.12359873584784402,0.0
Equal-High_2025.09.23 16:40__ep1,2025-09-23 16:45:00,TRUE_BREAK_OBSERVED,PERIOD_M5,SELL,0.09239365333901267,
Equal-Low_2025.09.23 16:55__ep1,2025-09-23 17:00:00,INVALIDATED_NO_BREAK,PERIOD_M5,BUY,0.1486935866983373,
Equal-High_2025.09.23 19:55__ep1,2025-09-23 20:00:00,TRUE_BREAK_OBSERVED,PERIOD_M5,SELL,0.019698260619854423,
Asia-High_2025.09.24__ep1,2025-09-24 00:00:00,INVALIDATED_NO_BREAK,PERIOD_D1,SELL,0.01211608049015674,0.0
Asia-High_2025.09.24__ep2,2025-09-24 11:30:00,INVALIDATED_NO_BREAK,PERIOD_M30,SELL,0.10840412927192415,41400.0
Equal-High_2025.09.24 06:40__ep1,2025-09-24 06:45:00,INVALIDATED_NO_BREAK,PERIOD_M5,SELL,0.021081224922846174,
Asia-Low_2025.09.24__ep1,2025-09-24 00:00:00,TRUE_BREAK_OBSERVED,PERIOD_D1,BUY,0.05017222717068222,0.0
Daily-Low_2025.09.23__ep1,2025-09-24 19:45:00,INVALIDATED_NO_BREAK,PERIOD_M15,BUY,0.026643354931252944,157500.0
Asia-High_2025.09.25__ep1,2025-09-25 00:00:00,INVALIDATED_NO_BREAK,PERIOD_D1,SELL,0.0812757189385534,0.0
Asia-High_2025.09.25__ep2,2025-09-25 12:30:00,INVALIDATED_NO_BREAK,PERIOD_M30,SELL,0.008943847065985396,45000.0
Asia-High_2025.09.25__ep5,2025-09-25 14:45:00,INVALIDATED_NO_BREAK,PERIOD_M15,SELL,0.0049632805866597655,53100.0
Asia-High_2025.09.25__ep7,2025-09-25 16:00:00,TRUE_BREAK_OBSERVED,PERIOD_H1,SELL,0.1097427881765128,57600.0
Asia-High_2025.09.25__ep8,2025-09-25 22:45:00,INVALIDATED_NO_BREAK,PERIOD_M15,SELL,0.062461538461538464,81900.0
Asia-Low_2025.09.25__ep1,2025-09-25 04:00:00,INVALIDATED_NO_BREAK,PERIOD_H4,BUY,0.04839881010231147,14400.0
Asia-Low_2025.09.25__ep2,2025-09-25 00:00:00,INVALIDATED_NO_BREAK,PERIOD_D1,BUY,0.006177113536141278,0.0
Asia-Low_2025.09.25__ep3,2025-09-25 17:00:00,INVALIDATED_NO_BREAK,PERIOD_H1,BUY,0.03176483382532315,61200.0
Asia-Low_2025.09.25__ep6,2025-09-25 18:00:00,INVALIDATED_NO_BREAK,PERIOD_H1,BUY,0.014789549334701368,64800.0
Asia-Low_2025.09.25__ep11,2025-09-25 20:00:00,INVALIDATED_NO_BREAK,PERIOD_H4,BUY,0.01874839162686014,72000.0
Equal-Low_2025.09.25 10:00__ep1,2025-09-25 11:00:00,INVALIDATED_NO_BREAK,PERIOD_H1,BUY,0.016175851229512643,
Equal-Low_2025.09.25 12:00__ep1,2025-09-25 13:00:00,INVALIDATED_NO_BREAK,PERIOD_H1,BUY,0.061626141790119236,
Equal-Low_2025.09.25 14:00__ep1,2025-09-25 15:00:00,INVALIDATED_NO_BREAK,PERIOD_H1,BUY,0.02288776245195253,
Equal-High_2025.09.25 19:40__ep1,2025-09-25 19:45:00,INVALIDATED_NO_BREAK,PERIOD_M5,SELL,0.04299304239356194,
Equal-High_2025.09.25 20:15__ep1,2025-09-25 20:30:00,INVALIDATED_NO_BREAK,PERIOD_M15,SELL,0.03993013584395194,
Asia-High_2025.09.26__ep2,2025-09-26 00:00:00,INVALIDATED_NO_BREAK,PERIOD_H4,SELL,0.00932982917214192,0.0
Asia-High_2025.09.26__ep5,2025-09-26 11:45:00,INVALIDATED_NO_BREAK,PERIOD_M15,SELL,0.013121272365805169,42300.0
Asia-High_2025.09.26__ep10,2025-09-26 16:00:00,INVALIDATED_NO_BREAK,PERIOD_H1,SELL,0.02097807947247958,57600.0
Asia-Low_2025.09.26__ep1,2025-09-26 00:00:00,INVALIDATED_NO_BREAK,PERIOD_D1,BUY,0.040464080865972245,0.0
Equal-Low_2025.09.26 04:55__ep1,2025-09-26 05:00:00,INVALIDATED_NO_BREAK,PERIOD_M5,BUY,0.03289103018970207,
Equal-High_2025.09.26 09:00__ep1,2025-09-26 10:00:00,INVALIDATED_NO_BREAK,PERIOD_H1,SELL,0.09500897199127743,
Equal-Low_2025.09.26 19:25__ep1,2025-09-26 19:30:00,INVALIDATED_NO_BREAK,PERIOD_M5,BUY,0.025749967812540235,
Equal-Low_2025.09.26 22:25__ep1,2025-09-26 22:30:00,INVALIDATED_NO_BREAK,PERIOD_M5,BUY,0.001420360392776994,
Asia-High_2025.09.29__ep2,2025-09-29 00:00:00,INVALIDATED_NO_BREAK,PERIOD_D1,SELL,0.02038170640783584,0.0
Asia-High_2025.09.29__ep3,2025-09-29 15:30:00,INVALIDATED_NO_BREAK,PERIOD_M30,SELL,0.026901516909284717,55800.0
Asia-High_2025.09.29__ep4,2025-09-29 16:00:00,INVALIDATED_NO_BREAK,PERIOD_H1,SELL,0.04194783501799775,57600.0
Daily-High_2025.09.26__ep1,2025-09-29 04:15:00,INVALIDATED_NO_BREAK,PERIOD_M15,SELL,0.1234372579459645,274500.0
Daily-High_2025.09.26__ep3,2025-09-29 05:00:00,INVALIDATED_NO_BREAK,PERIOD_H1,SELL,0.039703126078362495,277200.0
Equal-High_2025.09.29 18:00__ep1,2025-09-29 18:15:00,INVALIDATED_NO_BREAK,PERIOD_M15,SELL,0.09177252433286508,
Equal-High_2025.09.29 19:15__ep1,2025-09-29 19:30:00,INVALIDATED_NO_BREAK,PERIOD_M15,SELL,0.0017843147750871227,
