time,open,high,low,close,tick_volume
2026.03.10 20:00,5227.53,5227.88,5160.33,5192.67,54362
2026.03.11 00:00,5186.89,5222.93,5183.08,5208.4,51041
2026.03.11 04:00,5208.39,5220.42,5190.4,5199.5,43936
2026.03.11 08:00,5199.51,5210.74,5175.44,5187.57,58311
2026.03.11 12:00,5187.56,5196.74,5149.09,5176.74,75841
2026.03.11 16:00,5176.71,5196.22,5154.69,5169.65,86914
2026.03.11 20:00,5169.63,5183.42,5169.06,5175.9,28814
2026.03.12 00:00,5178.84,5183.38,5125.6,5168.44,54972
2026.03.12 04:00,5168.36,5175.0,5137.07,5154.4,44978
2026.03.12 08:00,5154.41,5190.18,5147.12,5188.08,47047
2026.03.12 12:00,5188.07,5191.57,5145.95,5151.04,71105
2026.03.12 16:00,5151.01,5163.5,5102.39,5105.13,100253
2026.03.12 20:00,5105.08,5112.41,5054.93,5078.93,47692
2026.03.13 00:00,5080.2,5124.17,5072.34,5124.11,41514
2026.03.13 04:00,5124.06,5128.38,5098.24,5102.93,41890
2026.03.13 08:00,5103.0,5107.6,5061.3,5089.45,65774
2026.03.13 12:00,5089.48,5121.56,5079.84,5101.37,66365
2026.03.13 16:00,5101.38,5107.73,5018.86,5046.23,107251
2026.03.13 20:00,5046.27,5051.54,5009.49,5020.22,45669
2026.03.16 00:00,5005.77,5030.79,4967.14,5015.82,84037
2026.03.16 04:00,5015.81,5025.98,4997.66,5017.3,50895
2026.03.16 08:00,5017.25,5035.85,4972.64,4975.18,62237
2026.03.16 12:00,4975.17,5034.22,4969.94,5029.6,74893
2026.03.16 16:00,5029.61,5037.82,4973.89,4991.12,89577
2026.03.16 20:00,4991.11,5021.43,4989.86,5006.15,39491
2026.03.17 00:00,5007.63,5027.67,4994.64,5027.67,43449
2026.03.17 04:00,5027.61,5044.26,5019.76,5020.54,36723
2026.03.17 08:00,5020.59,5029.45,5005.04,5010.31,52740
2026.03.17 12:00,5010.22,5031.29,4991.71,5016.42,62763
2026.03.17 16:00,5016.4,5020.36,4973.39,5002.32,83490
2026.03.17 20:00,5002.33,5008.9,4996.28,5005.41,28892
2026.03.18 00:00,5005.77,5015.77,4991.18,4998.5,29912
2026.03.18 04:00,4998.53,5006.82,4981.56,4997.56,37673
2026.03.18 08:00,4997.53,5016.06,4977.13,4991.97,41588
2026.03.18 12:00,4992.0,4992.05,4834.05,4878.0,94630
2026.03.18 16:00,4877.97,4898.74,4856.43,4890.58,88431
2026.03.18 20:00,4890.07,4899.15,4806.63,4818.68,63162
