time,open,high,low,close,sar,ema9,ema21,atr14
2026.05.26 20:00,4504.76,4510.51,4482.42,4507.29,4575.307136,4526.893100509876,4534.155804662115,29.49500000000007
2026.05.27 00:00,4510.12,4538.88,4495.94,4514.98,4569.73390784,4524.510480407901,4532.412549692832,29.527857142857215
2026.05.27 04:00,4514.97,4520.99,4495.63,4510.03,4564.4950733696,4521.614384326321,4530.377772448029,29.630000000000027
2026.05.27 08:00,4510.01,4513.75,4475.61,4497.72,4559.570568967423,4516.835507461057,4527.4088840436625,27.177857142857174
2026.05.27 12:00,4497.63,4497.63,4424.8,4438.68,4552.853723450029,4501.204405968846,4519.342621857875,30.977857142857225
2026.05.27 16:00,4438.66,4455.36,4401.14,4450.64,4540.048351105026,4491.091524775077,4513.096928961705,33.74285714285716
2026.05.27 20:00,4450.68,4458.64,4441.31,4456.13,4523.379348972423,4484.099219820062,4507.918117237913,33.25785714285716
2026.05.28 00:00,4456.65,4465.58,4443.72,4456.89,4508.710627095732,4478.65737585605,4503.2791974890115,33.7742857142857
2026.05.28 04:00,4456.9,4458.56,4366.27,4372.82,4495.802151844244,4457.48990068484,4491.419270444556,39.330000000000034
2026.05.28 08:00,4372.84,4395.93,4367.07,4386.76,4477.66765058605,4443.343920547873,4481.904791313233,38.49071428571432
2026.05.28 12:00,4386.63,4433.52,4375.13,4431.95,4462.071979504003,4441.065136438298,4477.363446648394,40.765714285714346
2026.05.28 16:00,4432.45,4510.86,4417.95,4510.84,4366.27,4455.020109150639,4480.406769680358,46.054285714285705
2026.05.28 20:00,4510.93,4516.36,4494.72,4495.55,4369.161800000001,4463.126087320511,4481.783426982143,44.74499999999993
2026.05.29 00:00,4495.81,4500.37,4488.9,4495.94,4375.049728000001,4469.688869856409,4483.0703881655845,43.31571428571427
2026.05.29 04:00,4495.97,4520.5,4492.29,4513.91,4380.702138880001,4478.533095885127,4485.8739892414405,43.32428571428569
2026.05.29 08:00,4513.92,4525.93,4502.51,4514.69,4389.090010547201,4485.764476708102,4488.4936265831275,41.92999999999995
2026.05.29 12:00,4514.74,4543.1,4512.58,4522.8,4400.037209703425,4493.171581366482,4491.612387802843,42.298571428571435
2026.05.29 16:00,4522.95,4595.04,4516.9,4566.78,4414.343488733082,4507.893265093186,4498.445807093493,45.15571428571429
2026.05.29 20:00,4566.81,4568.36,4539.12,4540.24,4436.027070085112,4514.362612074548,4502.245279175903,42.03571428571427
2026.06.01 00:00,4524.12,4545.69,4516.54,4540.66,4455.108621674899,4519.622089659639,4505.737526523549,40.245000000000005
2026.06.01 04:00,4540.61,4541.31,4508.52,4514.25,4471.900387073912,4518.5476717277115,4506.511387748681,41.34928571428572
2026.06.01 08:00,4514.28,4525.04,4490.54,4497.85,4486.677140625042,4514.408137382169,4505.723988862437,42.252142857142886
2026.06.01 12:00,4497.91,4512.75,4489.0,4502.05,4595.04,4511.936509905736,4505.389989874943,37.3564285714286
2026.06.01 16:00,4502.63,4503.67,4447.5,4479.89,4592.9192,4505.527207924589,4503.071808977221,39.30714285714285
2026.06.01 20:00,4479.84,4495.33,4471.29,4484.61,4587.102432000001,4501.343766339671,4501.393462706564,36.85357142857139
2026.06.02 00:00,4486.25,4496.96,4476.53,4481.22,4581.518334720001,4497.319013071737,4499.559511551422,31.676428571428566
2026.06.02 04:00,4481.1,4518.04,4462.83,4517.22,4576.157601331201,4501.29921045739,4501.165010501292,34.07428571428575
2026.06.02 08:00,4517.2,4541.29,4515.03,4526.56,4571.0112972779525,4506.351368365912,4503.473645910266,35.13071428571432
2026.06.02 12:00,4526.57,4535.62,4513.3,4514.56,4566.070845386835,4507.99309469273,4504.48149628206,34.71000000000001
2026.06.02 16:00,4514.83,4524.59,4486.2,4491.73,4561.3280115713615,4504.7404757541835,4503.322269347327,35.77928571428574
2026.06.02 20:00,4491.74,4492.85,4478.57,4487.73,4556.774891108507,4501.338380603347,4501.904790315752,34.61928571428576
2026.06.03 00:00,4490.16,4496.62,4462.04,4486.0,4552.403895464167,4498.2707044826775,4500.458900287047,31.50785714285716
2026.06.03 04:00,4485.78,4487.94,4463.15,4469.16,4548.207739645601,4492.448563586142,4497.613545715497,31.19000000000003
2026.06.03 08:00,4469.21,4474.05,4440.05,4443.81,4544.179430059777,4482.720850868914,4492.722314286815,31.536428571428626
2026.06.03 12:00,4443.62,4467.86,4438.81,4460.12,4537.93166425619,4478.200680695131,4489.758467533468,31.26928571428572
2026.06.03 16:00,4460.1,4465.58,4425.93,4441.68,4530.001931115695,4470.896544556105,4485.387697757698,31.637142857142834
2026.06.03 20:00,4441.91,4452.06,4430.15,4434.18,4519.594738004125,4463.553235644885,4480.732452506999,31.505714285714316
