server,login,trade_mode,symbol,probe_month_start,probe_to_plus7d,ticks_found,first_tick_in_probe,last_tick_in_probe,err
XMGlobal-MT5 10,345277936,DEMO,XAUEUR,2025.03.01,2025.03.08,1273921,2025.03.03 01:00:05,2025.03.07 23:57:59,0
XMGlobal-MT5 10,345277936,DEMO,XAUEUR,2025.03.31,2025.04.07,1350639,2025.03.31 01:00:05,2025.04.04 23:57:59,0
XMGlobal-MT5 10,345277936,DEMO,XAUEUR,2025.04.30,2025.05.07,1156168,2025.04.30 01:03:02,2025.05.06 23:58:59,0
XMGlobal-MT5 10,345277936,DEMO,XAUEUR,2025.05.30,2025.06.06,1166596,2025.05.30 01:00:19,2025.06.05 23:58:59,0
XMGlobal-MT5 10,345277936,DEMO,XAUEUR,2025.06.29,2025.07.06,823359,2025.06.30 01:00:05,2025.07.04 19:55:00,0
XMGlobal-MT5 10,345277936,DEMO,XAUEUR,2025.07.29,2025.08.05,974586,2025.07.29 01:00:14,2025.08.04 23:58:59,0
XMGlobal-MT5 10,345277936,DEMO,XAUEUR,2025.08.28,2025.09.04,943622,2025.08.28 01:00:16,2025.09.03 23:58:59,0
XMGlobal-MT5 10,345277936,DEMO,XAUEUR,2025.09.27,2025.10.04,1200269,2025.09.29 01:00:04,2025.10.03 23:57:59,0
XMGlobal-MT5 10,345277936,DEMO,XAUEUR,2025.10.27,2025.11.03,1572650,2025.10.27 00:44:29,2025.10.31 22:57:59,0
XMGlobal-MT5 10,345277936,DEMO,XAUEUR,2025.11.26,2025.12.03,1178908,2025.11.26 01:00:00,2025.12.02 23:58:57,0
XMGlobal-MT5 10,345277936,DEMO,XAUEUR,2025.12.26,2026.01.02,1304996,2025.12.26 08:00:00,2025.12.31 19:59:59,0
XMGlobal-MT5 10,345277936,DEMO,XAUEUR,2026.01.25,2026.02.01,2456945,2026.01.26 01:00:17,2026.01.30 23:57:59,0
